2CO 1:1.1 C Παῦλος Παῦλος N-NSM 3972 Παῦλος ! Παῦλος
2CO 4:11.6 . εἰς εἰς PREP 1519 εἰς ! εἰς
2CO 4:11.7 . θάνατον θάνατον N-ASM 2288 θάνατος ! θάνατος
2CO 4:11.8 . παραδιδόμεθα παραδιδόμεθα V-PPI-1P 3860 παραδίδωμι ! παραδίδωμι
2CO 4:11.9 . διὰ διὰ PREP 1223 διά ! διά
2CO 4:11.10 . Ἰησοῦν, Ἰησοῦν, N-ASM 2424 Ἰησοῦς ! Ἰησοῦς
2CO 4:11.11 . ἵνα ἵνα CONJ 2443 ἵνα ! ἵνα
2CO 4:11.12 . καὶ καὶ CONJ 2532 καί ! καί
2CO 4:11.13 . ἡ ἡ T-NSF 3588 ὁ ! ὁ
2CO 4:11.14 . ζωὴ ζωὴ N-NSF 2222 ζωή ! ζωή
2CO 4:11.15 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2CO 4:11.16 . Ἰησοῦ Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2CO 4:11.17 . φανερωθῇ φανερωθῇ V-APS-3S 5319 φανερόω ! φανερόω
2CO 4:11.18 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 4:11.19 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
2CO 4:11.20 . θνητῇ θνητῇ A-DSF 2349 θνητός ! θνητός
2CO 4:11.21 . σαρκὶ σαρκὶ N-DSF 4561 σάρξ ! σάρξ
2CO 4:11.22 . ἡμῶν. ἡμῶν. P-1GP 2249 ἡμεῖς ! ἐγώ
2CO 4:12.1 . ὥστε ὥστε CONJ 5620 ὥστε ! ὥστε
2CO 4:12.2 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
2CO 4:12.3 . θάνατος θάνατος N-NSM 2288 θάνατος ! θάνατος
2CO 4:12.4 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 4:12.5 . ἡμῖν ἡμῖν P-1DP 2249 ἡμεῖς ! ἐγώ
2CO 4:12.6 . ἐνεργεῖται, ἐνεργεῖται, V-PMI-3S 1754 ἐνεργέω ! ἐνεργέω
2CO 4:12.7 . ἡ ἡ T-NSF 3588 ὁ ! ὁ
2CO 4:12.8 . δὲ δὲ CONJ 1161 δέ ! δέ
2CO 4:12.9 . ζωὴ ζωὴ N-NSF 2222 ζωή ! ζωή
2CO 4:12.10 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 4:12.11 . ὑμῖν. ὑμῖν. P-2DP 5210 ὑμεῖς ! σύ
2CO 4:13.1 . ἔχοντες ἔχοντες V-PAP-NPM 2192 ἔχω ! ἔχω
2CO 4:13.2 . δὲ δὲ CONJ 1161 δέ ! δέ
2CO 4:13.3 . τὸ τὸ T-ASN 3588 ὁ ! ὁ
2CO 4:13.4 . αὐτὸ αὐτὸ P-ASN 846 αὐτός ! αὐτός
2CO 4:13.5 . πνεῦμα πνεῦμα N-ASN 4151 πνεῦμα ! πνεῦμα
2CO 4:13.6 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2CO 4:13.7 . πίστεως, πίστεως, N-GSF 4102 πίστις ! πίστις
2CO 4:13.8 . κατὰ κατὰ PREP 2596 κατά ! κατά
2CO 4:13.9 . τὸ τὸ T-ASN 3588 ὁ ! ὁ
2CO 4:13.10 . γεγραμμένον, γεγραμμένον, V-RPP-ASN 1125 γράφω ! γράφω
2CO 4:13.11 . ἐπίστευσα, ἐπίστευσα, V-AAI-1S 4100 πιστεύω ! πιστεύω
2CO 4:13.12 . διὸ διὸ CONJ 1352 διό ! διό
2CO 4:13.13 . καὶ καὶ CONJ 2532 καί ! καί
2CO 4:13.14 . ἐλάλησα, ἐλάλησα, V-AAI-1S 2980 λαλέω ! λαλέω
2CO 4:13.15 . καὶ καὶ CONJ 2532 καί ! καί
2CO 4:13.16 . ἡμεῖς ἡμεῖς P-1NP 2249 ἡμεῖς ! ἐγώ
2CO 4:13.17 . πιστεύομεν, πιστεύομεν, V-PAI-1P 4100 πιστεύω ! πιστεύω
2CO 4:13.18 . διὸ διὸ CONJ 1352 διό ! διό
2CO 4:13.19 . καὶ καὶ CONJ 2532 καί ! καί
2CO 4:13.20 . λαλοῦμεν, λαλοῦμεν, V-PAI-1P 2980 λαλέω ! λαλέω
2CO 4:14.1 . εἰδότες εἰδότες V-RAP-NPM 1492 εἴδω ! οἶδα
2CO 4:14.2 . ὅτι ὅτι CONJ 3754 ὅτι ! ὅτι
2CO 4:14.3 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
2CO 4:14.4 . ἐγείρας ἐγείρας V-AAP-NSM 1453 ἐγείρω ! ἐγείρω
2CO 4:14.5 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
2CO 4:14.6 . κύριον κύριον N-ASM 2962 κύριος ! κύριος
2CO 4:14.7 . Ἰησοῦν Ἰησοῦν N-ASM 2424 Ἰησοῦς ! Ἰησοῦς
2CO 4:14.8 . καὶ καὶ CONJ 2532 καί ! καί
2CO 4:14.9 . ἡμᾶς ἡμᾶς P-1AP 2249 ἡμεῖς ! ἐγώ
2CO 4:14.10 . σὺν σὺν PREP 4862 σύν ! σύν
2CO 4:14.11 . Ἰησοῦ Ἰησοῦ N-DSM 2424 Ἰησοῦς ! Ἰησοῦς
2CO 4:14.12 . ἐγερεῖ ἐγερεῖ V-FAI-3S 1453 ἐγείρω ! ἐγείρω
2CO 4:14.13 . καὶ καὶ CONJ 2532 καί ! καί
2CO 4:14.14 . παραστήσει παραστήσει V-FAI-3S 3936 παρίστημι ! παρίστημι
2CO 4:14.15 . σὺν σὺν PREP 4862 σύν ! σύν
2CO 4:14.16 . ὑμῖν. ὑμῖν. P-2DP 5210 ὑμεῖς ! σύ
2CO 4:15.1 . τὰ τὰ T-NPN 3588 ὁ ! ὁ
2CO 4:15.2 . γὰρ γὰρ CONJ 1063 γάρ ! γάρ
2CO 4:15.3 . πάντα πάντα A-NPN 3956 πᾶς ! πᾶς
2CO 4:15.4 . δι’ δι’ PREP 1223 διά ! διά
2CO 4:15.5 . ὑμᾶς, ὑμᾶς, P-2AP 5210 ὑμεῖς ! σύ
2CO 4:15.6 . ἵνα ἵνα CONJ 2443 ἵνα ! ἵνα
2CO 4:15.7 . ἡ ἡ T-NSF 3588 ὁ ! ὁ
2CO 4:15.8 . χάρις χάρις N-NSF 5485 χάρις ! χάρις
2CO 4:15.9 . πλεονάσασα πλεονάσασα V-AAP-NSF 4121 πλεονάζω ! πλεονάζω
2CO 4:15.10 . διὰ διὰ PREP 1223 διά ! διά
2CO 4:15.11 . τῶν τῶν T-GPM 3588 ὁ ! ὁ
2CO 4:15.12 . πλειόνων πλειόνων A-GPM-C 4119 πλείων ! πολύς
2CO 4:15.13 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
2CO 4:15.14 . εὐχαριστίαν εὐχαριστίαν N-ASF 2169 εὐχαριστία ! εὐχαριστία
2CO 4:15.15 . περισσεύσῃ περισσεύσῃ V-AAS-3S 4052 περισσεύω ! περισσεύω
2CO 4:15.16 . εἰς εἰς PREP 1519 εἰς ! εἰς
2CO 4:15.17 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
2CO 4:15.18 . δόξαν δόξαν N-ASF 1391 δόξα ! δόξα
2CO 4:15.19 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2CO 4:15.20 . θεοῦ. θεοῦ. N-GSM 2316 θεός ! θεός
2CO 4:16.1 P Διὸ Διὸ CONJ 1352 διό ! διό
2CO 4:16.2 . οὐκ οὐκ PRT-N 3756 οὐ ! οὐ
2CO 4:16.3 . ἐγκακοῦμεν, ἐγκακοῦμεν, V-PAI-1P 1573 ἐκκακέω ! ἐγκακέω
2CO 4:16.4 . ἀλλ’ ἀλλ’ CONJ 235 ἀλλά ! ἀλλά
2CO 4:16.5 . εἰ εἰ COND 1487 εἰ ! εἰ
2CO 4:16.6 . καὶ καὶ CONJ 2532 καί ! καί
2CO 4:16.7 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
2CO 4:16.8 . ἔξω ἔξω ADV 1854 ἔξω ! ἔξω
2CO 4:16.9 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2CO 4:16.10 . ἄνθρωπος ἄνθρωπος N-NSM 444 ἄνθρωπος ! ἄνθρωπος
2CO 4:16.11 . διαφθείρεται, διαφθείρεται, V-PPI-3S 1311 διαφθείρω ! διαφθείρω
2CO 4:16.12 . ἀλλ’ ἀλλ’ CONJ 235 ἀλλά ! ἀλλά
2CO 4:16.13 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
2CO 4:16.14 . ἔσω ἔσω ADV 2080 ἔσω ! ἔσω
2CO 4:16.15 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2CO 4:16.16 . ἀνακαινοῦται ἀνακαινοῦται V-PPI-3S 341 ἀνακαινόω ! ἀνακαινόω
2CO 4:16.17 . ἡμέρᾳ ἡμέρᾳ N-DSF 2250 ἡμέρα ! ἡμέρα
2CO 4:16.18 . καὶ καὶ CONJ 2532 καί ! καί
2CO 4:16.19 . ἡμέρᾳ. ἡμέρᾳ. N-DSF 2250 ἡμέρα ! ἡμέρα
2CO 4:17.1 . τὸ τὸ T-NSN 3588 ὁ ! ὁ
2CO 4:17.2 . γὰρ γὰρ CONJ 1063 γάρ ! γάρ
2CO 4:17.3 . παραυτίκα παραυτίκα ADV 3910 παραυτίκα ! παραυτίκα
2CO 4:17.4 . ἐλαφρὸν ἐλαφρὸν A-NSN 1645 ἐλαφρός ! ἐλαφρός
2CO 4:17.5 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2CO 4:17.6 . θλίψεως θλίψεως N-GSF 2347 θλῖψις ! θλῖψις
2CO 4:17.7 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2CO 4:17.8 . καθ’ καθ’ PREP 2596 κατά ! κατά
2CO 4:17.9 . ὑπερβολὴν ὑπερβολὴν N-ASF 5236 ὑπερβολή ! ὑπερβολή
2CO 4:17.10 . εἰς εἰς PREP 1519 εἰς ! εἰς
2CO 4:17.11 . ὑπερβολὴν ὑπερβολὴν N-ASF 5236 ὑπερβολή ! ὑπερβολή
2CO 4:17.12 . αἰώνιον αἰώνιον A-ASN 166 αἰώνιος ! αἰώνιος
2CO 4:17.13 . βάρος βάρος N-ASN 922 βάρος ! βάρος
2CO 4:17.14 . δόξης δόξης N-GSF 1391 δόξα ! δόξα
2CO 4:17.15 . κατεργάζεται κατεργάζεται V-PNI-3S 2716 κατεργάζομαι ! κατεργάζομαι
2CO 4:17.16 . ἡμῖν, ἡμῖν, P-1DP 2249 ἡμεῖς ! ἐγώ
2CO 4:18.1 . μὴ μὴ PRT-N 3361 μή ! μή
2CO 4:18.2 . σκοπούντων σκοπούντων V-PAP-GPM 4648 σκοπέω ! σκοπέω
2CO 4:18.3 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2CO 4:18.4 . τὰ τὰ T-APN 3588 ὁ ! ὁ
2CO 4:18.5 . βλεπόμενα βλεπόμενα V-PPP-APN 991 βλέπω ! βλέπω
2CO 4:18.6 . ἀλλὰ ἀλλὰ CONJ 235 ἀλλά ! ἀλλά
2CO 4:18.7 . τὰ τὰ T-APN 3588 ὁ ! ὁ
2CO 4:18.8 . μὴ μὴ PRT-N 3361 μή ! μή
2CO 4:18.9 . βλεπόμενα· βλεπόμενα· V-PPP-APN 991 βλέπω ! βλέπω
2CO 4:18.10 . τὰ τὰ T-NPN 3588 ὁ ! ὁ
2CO 4:18.11 . γὰρ γὰρ CONJ 1063 γάρ ! γάρ
2CO 4:18.12 . βλεπόμενα βλεπόμενα V-PPP-NPN 991 βλέπω ! βλέπω
2CO 4:18.13 . πρόσκαιρα, πρόσκαιρα, A-NPN 4340 πρόσκαιρος ! πρόσκαιρος
2CO 4:18.14 . τὰ τὰ T-NPN 3588 ὁ ! ὁ
2CO 4:18.15 . δὲ δὲ CONJ 1161 δέ ! δέ
2CO 4:18.16 . μὴ μὴ PRT-N 3361 μή ! μή
2CO 4:18.17 . βλεπόμενα βλεπόμενα V-PPP-NPN 991 βλέπω ! βλέπω
2CO 4:18.18 . αἰώνια. αἰώνια. A-NPN 166 αἰώνιος ! αἰώνιος
2CO 5:1.1 C Οἴδαμεν Οἴδαμεν V-RAI-1P 1492 εἴδω ! οἶδα
2CO 5:1.2 . γὰρ γὰρ CONJ 1063 γάρ ! γάρ
2CO 5:1.3 . ὅτι ὅτι CONJ 3754 ὅτι ! ὅτι
2CO 5:1.4 . ἐὰν ἐὰν COND 1437 ἐάν ! ἐάν
2CO 5:1.5 . ἡ ἡ T-NSF 3588 ὁ ! ὁ
2CO 5:1.6 . ἐπίγειος ἐπίγειος A-NSF 1919 ἐπίγειος ! ἐπίγειος
2CO 5:1.7 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2CO 5:1.8 . οἰκία οἰκία N-NSF 3614 οἰκία ! οἰκία
2CO 5:1.9 . τοῦ τοῦ T-GSN 3588 ὁ ! ὁ
2CO 5:1.10 . σκήνους σκήνους N-GSN 4636 σκῆνος ! σκῆνος
2CO 5:1.11 . καταλυθῇ, καταλυθῇ, V-APS-3S 2647 καταλύω ! καταλύω
2CO 5:1.12 . οἰκοδομὴν οἰκοδομὴν N-ASF 3619 οἰκοδομή ! οἰκοδομή
2CO 5:1.13 . ἐκ ἐκ PREP 1537 ἐκ ! ἐκ
2CO 5:1.14 . θεοῦ θεοῦ N-GSM 2316 θεός ! θεός
2CO 5:1.15 . ἔχομεν ἔχομεν V-PAI-1P 2192 ἔχω ! ἔχω
2CO 5:1.16 . οἰκίαν οἰκίαν N-ASF 3614 οἰκία ! οἰκία
2CO 5:1.17 . ἀχειροποίητον ἀχειροποίητον A-ASF 886 ἀχειροποίητος ! ἀχειροποίητος
2CO 5:1.18 . αἰώνιον αἰώνιον A-ASF 166 αἰώνιος ! αἰώνιος
2CO 5:1.19 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 5:1.20 . τοῖς τοῖς T-DPM 3588 ὁ ! ὁ
2CO 5:1.21 . οὐρανοῖς. οὐρανοῖς. N-DPM 3772 οὐρανός ! οὐρανός
2CO 5:2.1 . καὶ καὶ CONJ 2532 καί ! καί
2CO 5:2.2 . γὰρ γὰρ CONJ 1063 γάρ ! γάρ
2CO 5:2.3 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 5:2.4 . τούτῳ τούτῳ D-DSN 3778 οὗτος ! οὗτος
2CO 5:2.5 . στενάζομεν, στενάζομεν, V-PAI-1P 4727 στενάζω ! στενάζω
2CO 5:2.6 . τὸ τὸ T-ASN 3588 ὁ ! ὁ
2CO 5:2.7 . οἰκητήριον οἰκητήριον N-ASN 3613 οἰκητήριον ! οἰκητήριον
2CO 5:2.8 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2CO 5:2.9 . τὸ τὸ T-ASN 3588 ὁ ! ὁ
2CO 5:2.10 . ἐξ ἐξ PREP 1537 ἐκ ! ἐκ
2CO 5:2.11 . οὐρανοῦ οὐρανοῦ N-GSM 3772 οὐρανός ! οὐρανός
2CO 5:2.12 . ἐπενδύσασθαι ἐπενδύσασθαι V-AMN 1902 ἐπενδύομαι ! ἐπενδύω
2CO 5:2.13 . ἐπιποθοῦντες, ἐπιποθοῦντες, V-PAP-NPM 1971 ἐπιποθέω ! ἐπιποθέω
2CO 5:3.1 . εἴγε εἴγε COND 1489 εἴγε ! εἴ γε
2CO 5:3.2 . καὶ καὶ CONJ 2532 καί ! καί
2CO 5:3.3 . ἐνδυσάμενοι ἐνδυσάμενοι V-AMP-NPM 1746 ἐνδύω ! ἐνδύω
2CO 5:3.4 . οὐ οὐ PRT-N 3756 οὐ ! οὐ
2CO 5:3.5 . γυμνοὶ γυμνοὶ A-NPM 1131 γυμνός ! γυμνός
2CO 5:3.6 . εὑρεθησόμεθα. εὑρεθησόμεθα. V-FPI-1P 2147 εὑρίσκω ! εὑρίσκω
2CO 5:4.1 . καὶ καὶ CONJ 2532 καί ! καί
2CO 5:4.2 . γὰρ γὰρ CONJ 1063 γάρ ! γάρ
2CO 5:4.3 . οἱ οἱ T-NPM 3588 ὁ ! ὁ
2CO 5:4.4 . ὄντες ὄντες V-PAP-NPM 1510 εἰμί ! εἰμί
2CO 5:4.5 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 5:4.6 . τῷ τῷ T-DSN 3588 ὁ ! ὁ
2CO 5:4.7 . σκήνει σκήνει N-DSN 4636 σκῆνος ! σκῆνος
2CO 5:4.8 . στενάζομεν στενάζομεν V-PAI-1P 4727 στενάζω ! στενάζω
2CO 5:4.9 . βαρούμενοι, βαρούμενοι, V-PPP-NPM 916 βαρέω ! βαρέω
2CO 5:4.10 . ἐφ’ ἐφ’ PREP 1909 ἐπί ! ἐπί
2CO 5:4.11 . ᾧ ᾧ R-DSN 3739 ὅς ! ὅς
2CO 5:4.12 . οὐ οὐ PRT-N 3756 οὐ ! οὐ
2CO 5:4.13 . θέλομεν θέλομεν V-PAI-1P 2309 θέλω ! θέλω
2CO 5:4.14 . ἐκδύσασθαι ἐκδύσασθαι V-AMN 1562 ἐκδύω ! ἐκδύω
2CO 5:4.15 . ἀλλ’ ἀλλ’ CONJ 235 ἀλλά ! ἀλλά
2CO 5:4.16 . ἐπενδύσασθαι, ἐπενδύσασθαι, V-AMN 1902 ἐπενδύομαι ! ἐπενδύω
2CO 5:4.17 . ἵνα ἵνα CONJ 2443 ἵνα ! ἵνα
2CO 5:4.18 . καταποθῇ καταποθῇ V-APS-3S 2666 καταπίνω ! καταπίνω
2CO 5:4.19 . τὸ τὸ T-NSN 3588 ὁ ! ὁ
2CO 5:4.20 . θνητὸν θνητὸν A-NSN 2349 θνητός ! θνητός
2CO 5:4.21 . ὑπὸ ὑπὸ PREP 5259 ὑπό ! ὑπό
2CO 5:4.22 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2CO 5:4.23 . ζωῆς. ζωῆς. N-GSF 2222 ζωή ! ζωή
2CO 5:5.1 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
2CO 5:5.2 . δὲ δὲ CONJ 1161 δέ ! δέ
2CO 5:5.3 . κατεργασάμενος κατεργασάμενος V-ADP-NSM 2716 κατεργάζομαι ! κατεργάζομαι
2CO 5:5.4 . ἡμᾶς ἡμᾶς P-1AP 2249 ἡμεῖς ! ἐγώ
2CO 5:5.5 . εἰς εἰς PREP 1519 εἰς ! εἰς
2CO 5:5.6 . αὐτὸ αὐτὸ P-ASN 846 αὐτός ! αὐτός
2CO 5:5.7 . τοῦτο τοῦτο D-ASN 3778 οὗτος ! οὗτος
2CO 5:5.8 . θεός, θεός, N-NSM 2316 θεός ! θεός
2CO 5:5.9 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
2CO 5:5.10 . δοὺς δοὺς V-2AAP-NSM 1325 δίδωμι ! δίδωμι
2CO 5:5.11 . ἡμῖν ἡμῖν P-1DP 2249 ἡμεῖς ! ἐγώ
2CO 5:5.12 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
2CO 5:5.13 . ἀρραβῶνα ἀρραβῶνα N-ASM 728 ἀῤῥαβών ! ἀρραβών
2CO 5:5.14 . τοῦ τοῦ T-GSN 3588 ὁ ! ὁ
2CO 5:5.15 . πνεύματος. πνεύματος. N-GSN 4151 πνεῦμα ! πνεῦμα
2CO 5:6.1 . θαρροῦντες θαρροῦντες V-PAP-NPM 2292 θαῤῥέω ! θαρρέω
2CO 5:6.2 . οὖν οὖν CONJ 3767 οὖν ! οὖν
2CO 5:6.3 . πάντοτε πάντοτε ADV 3842 πάντοτε ! πάντοτε
2CO 5:6.4 . καὶ καὶ CONJ 2532 καί ! καί
2CO 5:6.5 . εἰδότες εἰδότες V-RAP-NPM 1492 εἴδω ! οἶδα
2CO 5:6.6 . ὅτι ὅτι CONJ 3754 ὅτι ! ὅτι
2CO 5:6.7 . ἐνδημοῦντες ἐνδημοῦντες V-PAP-NPM 1736 ἐνδημέω ! ἐνδημέω
2CO 5:6.8 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 5:6.9 . τῷ τῷ T-DSN 3588 ὁ ! ὁ
2CO 5:6.10 . σώματι σώματι N-DSN 4983 σῶμα ! σῶμα
2CO 5:6.11 . ἐκδημοῦμεν ἐκδημοῦμεν V-PAI-1P 1553 ἐκδημέω ! ἐκδημέω
2CO 5:6.12 . ἀπὸ ἀπὸ PREP 575 ἀπό ! ἀπό
2CO 5:6.13 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2CO 5:6.14 . κυρίου, κυρίου, N-GSM 2962 κύριος ! κύριος
2CO 5:7.1 . διὰ διὰ PREP 1223 διά ! διά
2CO 5:7.2 . πίστεως πίστεως N-GSF 4102 πίστις ! πίστις
2CO 5:7.3 . γὰρ γὰρ CONJ 1063 γάρ ! γάρ
2CO 5:7.4 . περιπατοῦμεν περιπατοῦμεν V-PAI-1P 4043 περιπατέω ! περιπατέω
2CO 5:7.5 . οὐ οὐ PRT-N 3756 οὐ ! οὐ
2CO 5:7.6 . διὰ διὰ PREP 1223 διά ! διά
2CO 5:7.7 . εἴδους εἴδους N-GSN 1491 εἶδος ! εἶδος
2CO 5:8.1 . θαρροῦμεν θαρροῦμεν V-PAI-1P 2292 θαῤῥέω ! θαρρέω
2CO 5:8.2 . δὲ δὲ CONJ 1161 δέ ! δέ
2CO 5:8.3 . καὶ καὶ CONJ 2532 καί ! καί
2CO 5:8.4 . εὐδοκοῦμεν εὐδοκοῦμεν V-PAI-1P 2106 εὐδοκέω ! εὐδοκέω
2CO 5:8.5 . μᾶλλον μᾶλλον ADV 3123 μᾶλλον ! μᾶλλον
2CO 5:8.6 . ἐκδημῆσαι ἐκδημῆσαι V-AAN 1553 ἐκδημέω ! ἐκδημέω
2CO 5:8.7 . ἐκ ἐκ PREP 1537 ἐκ ! ἐκ
2CO 5:8.8 . τοῦ τοῦ T-GSN 3588 ὁ ! ὁ
2CO 5:8.9 . σώματος σώματος N-GSN 4983 σῶμα ! σῶμα
2CO 5:8.10 . καὶ καὶ CONJ 2532 καί ! καί
2CO 5:8.11 . ἐνδημῆσαι ἐνδημῆσαι V-AAN 1736 ἐνδημέω ! ἐνδημέω
2CO 5:8.12 . πρὸς πρὸς PREP 4314 πρός ! πρός
2CO 5:8.13 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
2CO 5:8.14 . κύριον. κύριον. N-ASM 2962 κύριος ! κύριος
2CO 5:9.1 . διὸ διὸ CONJ 1352 διό ! διό
2CO 5:9.2 . καὶ καὶ CONJ 2532 καί ! καί
2CO 5:9.3 . φιλοτιμούμεθα, φιλοτιμούμεθα, V-PNI-1P 5389 φιλοτιμέομαι ! φιλοτιμέομαι
2CO 5:9.4 . εἴτε εἴτε CONJ 1535 εἴτε ! εἴτε
2CO 5:9.5 . ἐνδημοῦντες ἐνδημοῦντες V-PAP-NPM 1736 ἐνδημέω ! ἐνδημέω
2CO 5:9.6 . εἴτε εἴτε CONJ 1535 εἴτε ! εἴτε
2CO 5:9.7 . ἐκδημοῦντες, ἐκδημοῦντες, V-PAP-NPM 1553 ἐκδημέω ! ἐκδημέω
2CO 5:9.8 . εὐάρεστοι εὐάρεστοι A-NPM 2101 εὐάρεστος ! εὐάρεστος
2CO 5:9.9 . αὐτῷ αὐτῷ P-DSM 846 αὐτός ! αὐτός
2CO 5:9.10 . εἶναι. εἶναι. V-PAN 1510 εἰμί ! εἰμί
2CO 5:10.1 . τοὺς τοὺς T-APM 3588 ὁ ! ὁ
2CO 5:10.2 . γὰρ γὰρ CONJ 1063 γάρ ! γάρ
2CO 5:10.3 . πάντας πάντας A-APM 3956 πᾶς ! πᾶς
2CO 5:10.4 . ἡμᾶς ἡμᾶς P-1AP 2249 ἡμεῖς ! ἐγώ
2CO 5:10.5 . φανερωθῆναι φανερωθῆναι V-APN 5319 φανερόω ! φανερόω
2CO 5:10.6 . δεῖ δεῖ V-PAI-3S 1163 δεῖ ! δεῖ
2CO 5:10.7 . ἔμπροσθεν ἔμπροσθεν PREP 1715 ἔμπροσθεν ! ἔμπροσθεν
2CO 5:10.8 . τοῦ τοῦ T-GSN 3588 ὁ ! ὁ
2CO 5:10.9 . βήματος βήματος N-GSN 968 βῆμα ! βῆμα
2CO 5:10.10 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2CO 5:10.11 . Χριστοῦ, Χριστοῦ, N-GSM 5547 Χριστός ! Χριστός
2CO 5:10.12 . ἵνα ἵνα CONJ 2443 ἵνα ! ἵνα
2CO 5:10.13 . κομίσηται κομίσηται V-AMS-3S 2865 κομίζω ! κομίζω
2CO 5:10.14 . ἕκαστος ἕκαστος A-NSM 1538 ἕκαστος ! ἕκαστος
2CO 5:10.15 . τὰ τὰ T-APN 3588 ὁ ! ὁ
2CO 5:10.16 . διὰ διὰ PREP 1223 διά ! διά
2CO 5:10.17 . τοῦ τοῦ T-GSN 3588 ὁ ! ὁ
2CO 5:10.18 . σώματος σώματος N-GSN 4983 σῶμα ! σῶμα
2CO 5:10.19 . πρὸς πρὸς PREP 4314 πρός ! πρός
2CO 5:10.20 . ἃ ἃ R-APN 3739 ὅς ! ὅς
2CO 5:10.21 . ἔπραξεν, ἔπραξεν, V-AAI-3S 4238 πράσσω ! πράσσω
2CO 5:10.22 . εἴτε εἴτε CONJ 1535 εἴτε ! εἴτε
2CO 5:10.23 . ἀγαθὸν ἀγαθὸν A-ASN 18 ἀγαθός ! ἀγαθός
2CO 5:10.24 . εἴτε εἴτε CONJ 1535 εἴτε ! εἴτε
2CO 5:10.25 . φαῦλον. φαῦλον. A-ASN 5337 φαῦλος ! φαῦλος
2CO 5:11.1 P Εἰδότες Εἰδότες V-RAP-NPM 1492 εἴδω ! οἶδα
2CO 5:11.2 . οὖν οὖν CONJ 3767 οὖν ! οὖν
2CO 5:11.3 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
2CO 5:11.4 . φόβον φόβον N-ASM 5401 φόβος ! φόβος
2CO 5:11.5 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2CO 5:11.6 . κυρίου κυρίου N-GSM 2962 κύριος ! κύριος
2CO 5:11.7 . ἀνθρώπους ἀνθρώπους N-APM 444 ἄνθρωπος ! ἄνθρωπος
2CO 5:11.8 . πείθομεν, πείθομεν, V-PAI-1P 3982 πείθω ! πείθω
2CO 5:11.9 . θεῷ θεῷ N-DSM 2316 θεός ! θεός
2CO 5:11.10 . δὲ δὲ CONJ 1161 δέ ! δέ
2CO 5:11.11 . πεφανερώμεθα· πεφανερώμεθα· V-RPI-1P 5319 φανερόω ! φανερόω
2CO 5:11.12 . ἐλπίζω ἐλπίζω V-PAI-1S 1679 ἐλπίζω ! ἐλπίζω
2CO 5:11.13 . δὲ δὲ CONJ 1161 δέ ! δέ
2CO 5:11.14 . καὶ καὶ CONJ 2532 καί ! καί
2CO 5:11.15 . ἐν ἐν PREP 1722 ἐν ! ἐν
2CO 5:11.16 . ταῖς ταῖς T-DPF 3588 ὁ ! ὁ
2CO 5:11.17 . συνειδήσεσιν συνειδήσεσιν N-DPF 4893 συνείδησις ! συνείδησις
2CO 5:11.18 . ὑμῶν ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
2CO 5:11.19 . πεφανερῶσθαι. πεφανερῶσθαι. V-RPN 5319 φανερόω ! φανερόω
2CO 5:12.1 . οὐ οὐ PRT-N 3756 οὐ ! οὐ
2CO 5:12.2 . γὰρ γὰρ CONJ 1063 γάρ ! γάρ
